Route_Name,Route_links
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Lucknow to Prayagraj(Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Prayagraj(Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
Sitapur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/sitapur-to-delhi
Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow
Lucknow to Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra
Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow
Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
Ballia (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/ballia-to-lucknow
Lucknow to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-aligarh-uttar-pradesh
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
Moradabad to Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi
Aligarh (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow
Gorakhpur (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/gorakhpur-to-delhi
Varanasi to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/varanasi-to-gorakhpur
Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura
Shahjahanpur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/shahjahanpur-to-delhi
Lucknow to Ballia (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-ballia
Delhi to Sitapur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-sitapur
Kanpur (Uttar Pradesh) to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/kanpur-to-bareilly
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Kanpur (Uttar Pradesh) to Varanasi,https://www.redbus.in/bus-tickets/kanpur-to-varanasi
Lucknow to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-bareilly
Aligarh (uttar pradesh) to Greater noida (uttar pradesh),https://www.redbus.in/bus-tickets/aligarh-to-greater-noida
Agra to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/agra-to-bareilly
Lucknow to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-kanpur
Bareilly (Uttar Pradesh) to Dehradun,https://www.redbus.in/bus-tickets/bareilly-to-dehradun
Pilibhit to Delhi,https://www.redbus.in/bus-tickets/pilibhit-to-delhi
Bareilly (Uttar Pradesh) to Agra,https://www.redbus.in/bus-tickets/bareilly-to-agra
Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
Bareilly (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow
Varanasi to Prayagraj(Uttar Pradesh),https://www.redbus.in/bus-tickets/varanasi-to-allahabad
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
Lucknow to Moradabad,https://www.redbus.in/bus-tickets/lucknow-to-moradabad
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi
Delhi to Haridwar,https://www.redbus.in/bus-tickets/delhi-to-haridwar
Prayagraj(Uttar Pradesh) to Varanasi,https://www.redbus.in/bus-tickets/allahabad-to-varanasi
Lakhimpur (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/lakhimpur-to-delhi
Aligarh (uttar pradesh) to Agra,https://www.redbus.in/bus-tickets/aligarh-to-agra
Lucknow to Ayodhya,https://www.redbus.in/bus-tickets/lucknow-to-ayodhya
