Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:05,08:30,03h 25m,297,41 Seats available,4.4,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Kanchan Travels,AC Seater (2+2),05:20,08:30,03h 10m,INR 278,30 Seats available,4.4,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),05:40,08:35,02h 55m,348,17 Seats available,4.5,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,INR 360,37 Seats available,4.1,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),05:55,09:00,03h 05m,INR 380.95,37 Seats available,4.3,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),06:10,09:35,03h 25m,311,29 Seats available,3.8,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Aziba Travels,NON A/C Seater (2+1),09:45,13:55,04h 10m,347,26 Seats available,4.0,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,10:25,03h 55m,INR 360,35 Seats available,4.6,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Kalpana Travels,AC Seater (2+2),08:50,12:45,03h 55m,351,30 Seats available,4.6,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),06:45,10:10,03h 25m,INR 380.95,23 Seats available,4.8,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),07:20,11:00,03h 40m,INR 380.95,26 Seats available,4.4,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),07:45,12:00,04h 15m,INR 360,35 Seats available,4.1,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),07:50,11:40,03h 50m,371,41 Seats available,4.7,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),10:10,15:00,04h 50m,405,29 Seats available,3.7,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),10:30,15:45,05h 15m,405,28 Seats available,3.8,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahalaxmi Travels,A/C Seater (2+2),09:45,13:30,03h 45m,INR 300,34 Seats available,4.2,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),11:30,16:45,05h 15m,405,31 Seats available,4.1,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),11:45,16:45,05h 00m,405,37 Seats available,3.5,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:30,16:15,04h 45m,INR 399.34,14 Seats available,4.3,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:00,17:00,04h 00m,INR 399.34,31 Seats available,4.6,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BARBIE TRAVELS,A/C Seater Push Back (2+2),13:10,17:50,04h 40m,INR 350,31 Seats available,3.0,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,18:30,04h 00m,INR 432.06,39 Seats available,4.6,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),15:00,19:15,04h 15m,324,37 Seats available,4.2,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,19:15,03h 45m,INR 399.34,38 Seats available,4.6,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:15,03:00,05h 45m,INR 450,22 Seats available,3.4,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:45,03:15,05h 30m,450,23 Seats available,4.0,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
