Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
RSRTC - 191942,Express Non AC Seater 2+3,17:30,11:00,17h 30m,INR 733,42 Seats available,3.6,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Milan Travels,A/C Seater / Sleeper (2+1),19:00,07:00,12h 00m,INR 760,35 Seats available,4.4,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Parshwanath Travel Pvt. Ltd,Bharat Benz A/C Sleeper (2+1),19:00,07:30,12h 30m,814,17 Seats available,4.4,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Royal Karnavati (TNB Travels),A/C Seater / Sleeper (2+1),19:15,07:45,12h 30m,724,27 Seats available,4.5,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),15:15,04:35,13h 20m,569,30 Seats available,3.6,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Rytham Tours And Travels,NON AC Seater / Sleeper 2+1,18:35,07:54,13h 19m,INR 500,32 Seats available,1.9,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Rytham Tours And Travels,NON A/C Sleeper (2+1),16:35,06:35,14h 00m,INR 700,36 Seats available,1.6,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,17:00,07:00,14h 00m,INR 500,21 Seats available,3.9,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Shrinath® Travel Agency Pvt. Ltd.,A/C Sleeper (2+1),20:15,09:30,13h 15m,INR 857,36 Seats available,2.1,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Shrinath® Travel Agency Pvt. Ltd.,A/C Sleeper (2+1),18:00,07:40,13h 40m,INR 800,36 Seats available,2.1,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
Jakhar Travels,NON A/C Sleeper (2+1),20:15,09:45,13h 30m,INR 1000,16 Seats available,2.5,https://www.redbus.in/bus-tickets/ahmedabad-to-bikaner,Ahmedabad to Bikaner
