Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Kadamba Transport Corporation Limited (KTCL) - 141177,Non AC Seater 2+2,19:00,05:00,10h 00m,INR 1200,22 Seats available,3.8,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,INR 1800,5 Seats available,3.7,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,INR 1999,11 Seats available,4.8,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 1699,15 Seats available,4.6,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:15,07:55,10h 40m,INR 1291,25 Seats available,4.6,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdIntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:05,08:00,10h 55m,INR 1548,23 Seats available,4.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:45,10:55,11h 10m,1320,26 Seats available,4.5,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Non A/C Seater / Sleeper (2+1),21:20,08:50,11h 30m,INR 890,33 Seats available,4.4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,09:00,12h 00m,1350,27 Seats available,4.4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdShreyash Travels,Bharat Benz A/C Sleeper (2+1),21:45,08:30,10h 45m,INR 1515,14 Seats available,3.7,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),22:05,09:30,11h 25m,1440,18 Seats available,4.4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:00,10:00,11h 00m,1800,19 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),22:15,09:40,11h 25m,INR 1403,29 Seats available,4.4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray National Express,NON A/C Sleeper (2+1),20:00,06:45,10h 45m,INR 1100,27 Seats available,4.3,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,06:45,09h 45m,INR 1800,22 Seats available,4.2,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Indumati Travels,A/C Sleeper (2+1),22:20,08:30,10h 10m,1368,26 Seats available,4.3,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Vip Yellows,A/C Sleeper (2+1),20:30,08:30,12h 00m,1539,26 Seats available,4.2,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),22:55,10:00,11h 05m,INR 2456,27 Seats available,4.3,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),22:40,09:00,10h 20m,INR 2188,26 Seats available,4.3,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),20:35,07:30,10h 55m,INR 1547,23 Seats available,4.2,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),19:45,06:00,10h 15m,INR 2219,18 Seats available,4.2,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:30,09:00,10h 30m,1662,27 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:15,07:15,11h 00m,INR 1099,30 Seats available,4.2,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,AC Sleeper (2+1),22:45,09:55,11h 10m,1540,23 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,09:35,11h 05m,INR 1736,21 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:15,07:55,10h 40m,INR 1499,6 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,A/C Sleeper (2+1),20:15,07:00,10h 45m,INR 1399,17 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Mehul Tours And Travels,NON A/C Sleeper (2+1),18:45,08:29,13h 44m,INR 2500,36 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Indumati Travels,A/C Sleeper (2+1),21:20,07:30,10h 10m,INR 1600,25 Seats available,4.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Atmaram Divine,NON A/C Sleeper (2+1),19:45,06:45,11h 00m,INR 1090,22 Seats available,4.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,VE A/C Sleeper (2+1),01:35,11:55,10h 20m,1617,19 Seats available,4.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,NON A/C Sleeper (2+1),19:30,06:15,10h 45m,INR 1299,10 Seats available,4.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),21:25,08:01,10h 36m,INR 1400,22 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Queen Asta,A/C Sleeper (2+1),21:30,08:00,10h 30m,INR 1700,23 Seats available,3.9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,09:30,11h 00m,INR 2020,30 Seats available,3.9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Queen Prime,A/C Sleeper (2+1),20:30,07:30,11h 00m,INR 1700,27 Seats available,3.9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:30,10:25,10h 55m,INR 1299,23 Seats available,4.1,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),22:10,08:50,10h 40m,INR 2745,21 Seats available,3.9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi Empress Stellar,NON A/C Sleeper (2+1),21:00,08:00,11h 00m,INR 1600,30 Seats available,3.8,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,NON A/C Sleeper (2+1),20:30,07:00,10h 30m,INR 1000,22 Seats available,3.5,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
