Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Meghalaya Transport Corporation(MTC) - 163300,Force Motors Non A/C Seater Executive (2+2),07:00,10:00,03h 00m,INR 200,23 Seats available,4.3,https://www.redbus.in/bus-tickets/guwahati-to-shillong,Guwahati to Shillong
Meghalaya Transport Corporation(MTC) - 175777,Force Motors Non A/C Seater Executive (2+2),12:00,15:00,03h 00m,INR 200,16 Seats available,4.3,https://www.redbus.in/bus-tickets/guwahati-to-shillong,Guwahati to Shillong
NETWORK TRAVELS,Bharat Benz A/C Sleeper (2+1),05:10,07:40,02h 30m,INR 450,4 Seats available,2.7,https://www.redbus.in/bus-tickets/guwahati-to-shillong,Guwahati to Shillong
Meghalaya Transport Corporation(MTC) - 169753,Force Motors Non A/C Seater Executive (2+2),07:00,09:30,02h 30m,INR 200,3 Seats available,4.1,https://www.redbus.in/bus-tickets/shillong-to-guwahati,Shillong to Guwahati
Meghalaya Transport Corporation(MTC) - 163303,Force Motors Non A/C Seater Executive (2+2),14:00,17:00,03h 00m,INR 200,20 Seats available,3.8,https://www.redbus.in/bus-tickets/shillong-to-guwahati,Shillong to Guwahati
Meghalaya Transport Corporation(MTC) - 172215,Force Motors Non A/C Seater Executive (2+2),15:00,18:00,03h 00m,INR 200,24 Seats available,4.5,https://www.redbus.in/bus-tickets/shillong-to-guwahati,Shillong to Guwahati
Meghalaya Transport Corporation(MTC) - 163370,Tata Non A/C Seater Executive Luxury (2+2),19:00,04:00,09h 00m,INR 517,28 Seats available,3.5,https://www.redbus.in/bus-tickets/tura-meghalaya-to-shillong,Tura (Meghalaya) to Shillong
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater (2+1),23:45,07:00,07h 15m,INR 650,27 Seats available,3.4,https://www.redbus.in/bus-tickets/shillong-to-silchar,Shillong to Silchar
Jagannath Travels and Tours Pvt. Ltd.,NON A/C Seater Push Back (2+1),09:00,17:30,08h 30m,INR 800,32 Seats available,2.0,https://www.redbus.in/bus-tickets/shillong-to-silchar,Shillong to Silchar
AR Travels,Non AC Seater (2+2),22:30,05:40,07h 10m,540,40 Seats available,1.3,https://www.redbus.in/bus-tickets/shillong-to-silchar,Shillong to Silchar
Meghalaya Transport Corporation(MTC) - 163370,Tata Non A/C Seater Executive Luxury (2+2),16:00,04:00,12h 00m,INR 581,28 Seats available,3.2,https://www.redbus.in/bus-tickets/williamnagar-meghalaya-to-shillong,Williamnagar (Meghalaya) to Shillong
Assam State Transport Corporation (ASTC) - 139638,NON A/C Seater Push Back (2+1),16:00,03:00,11h 00m,INR 408,20 Seats available,3.4,https://www.redbus.in/bus-tickets/silchar-to-shillong,Silchar to Shillong
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater (2+1),19:15,05:00,09h 45m,INR 650,31 Seats available,3.4,https://www.redbus.in/bus-tickets/silchar-to-shillong,Silchar to Shillong
AR Travels,Non AC Seater (2+2),19:00,04:30,09h 30m,450,40 Seats available,1.3,https://www.redbus.in/bus-tickets/silchar-to-shillong,Silchar to Shillong
JAYSIKA,NON A/C Seater Push Back (2+1),17:20,03:00,09h 40m,INR 650,34 Seats available,2.4,https://www.redbus.in/bus-tickets/karimganj-to-shillong,Karimganj to Shillong
Meghalaya Transport Corporation(MTC) - 163836,Tata Non A/C Seater Executive Luxury (2+2),06:30,16:00,09h 30m,INR 507,6 Seats available,2.9,https://www.redbus.in/bus-tickets/shillong-to-phulbari,Shillong to Phulbari
AR Travels,Non AC Seater (2+2),22:30,06:00,07h 30m,545,40 Seats available,1.3,https://www.redbus.in/bus-tickets/shillong-to-hailakandi,Shillong to Hailakandi
Meghalaya Transport Corporation(MTC) - 163837,Tata Non A/C Seater Executive Luxury (2+2),05:30,16:00,10h 30m,INR 507,32 Seats available,3.9,https://www.redbus.in/bus-tickets/phulbari-to-shillong,Phulbari to Shillong
AR Travels,Non AC Seater (2+2),17:30,04:30,11h 00m,450,40 Seats available,1.3,https://www.redbus.in/bus-tickets/hailakandi-to-shillong,Hailakandi to Shillong
Meghalaya Transport Corporation(MTC) - 163837,Tata Non A/C Seater Executive Luxury (2+2),06:10,16:00,09h 50m,INR 460,32 Seats available,3.8,https://www.redbus.in/bus-tickets/tikrikilla-to-shillong,Tikrikilla to Shillong
Meghalaya Transport Corporation(MTC) - 169753,Force Motors Non A/C Seater Executive (2+2),08:15,09:30,01h 15m,INR 104,4 Seats available,3.8,https://www.redbus.in/bus-tickets/nongpoh-to-guwahati,Nongpoh to Guwahati
Meghalaya Transport Corporation(MTC) - 172215,Force Motors Non A/C Seater Executive (2+2),16:15,18:00,01h 45m,INR 104,25 Seats available,3.8,https://www.redbus.in/bus-tickets/nongpoh-to-guwahati,Nongpoh to Guwahati
