Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
RSRTC - 192566,Semi Deluxe Non AC Seater 2+2,04:45,09:15,04h 30m,INR 250,35 Seats available,4.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,06:15,10:15,04h 00m,INR 460,37 Seats available,4.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 185141,Super Luxury Volvo AC Seater Pushback 2+2,07:15,11:15,04h 00m,INR 460,37 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 197630,Express Non AC Seater 2+3,07:40,12:20,04h 40m,INR 227,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 144042,Super Luxury Volvo AC Seater Pushback 2+2,08:21,12:20,03h 59m,INR 460,37 Seats available,3.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 194536,Super Luxury Volvo AC Seater Pushback 2+2,09:05,13:10,04h 05m,INR 460,37 Seats available,5.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 193432,Express Non AC Seater 2+3,10:00,15:45,05h 45m,INR 226,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 179321,Express Non AC Seater 2+3,10:00,14:30,04h 30m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 179320,Express Non AC Seater 2+3,10:15,14:40,04h 25m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 164138,Express Non AC Seater 2+3,10:30,15:00,04h 30m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 194531,Super Luxury Volvo AC Seater Pushback 2+2,11:00,15:00,04h 00m,INR 460,37 Seats available,4.7,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 182944,Express Non AC Seater 2+3,11:15,15:50,04h 35m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 187798,Super Luxury Volvo AC Seater Pushback 2+2,11:55,15:50,03h 55m,INR 460,36 Seats available,3.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 195911,Express Non AC Seater 2+3,12:00,16:30,04h 30m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 194408,Express Non AC Seater 2+3,12:35,17:05,04h 30m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 157455,Super Luxury Volvo AC Seater Pushback 2+2,13:00,17:00,04h 00m,INR 460,35 Seats available,4.4,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 190571,Express Non AC Seater 2+3,13:15,18:00,04h 45m,INR 229,42 Seats available,2.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 188046,Express Non AC Seater 2+3,14:15,19:00,04h 45m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 197935,Express Non AC Seater 2+3,14:30,19:15,04h 45m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 146140,Super Luxury Volvo AC Seater Pushback 2+2,14:46,18:48,04h 02m,INR 460,37 Seats available,4.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 169078,NON AC Seater / Sleeper 2+1,15:00,19:30,04h 30m,INR 302,37 Seats available,4.5,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 190572,Express Non AC Seater 2+3,16:15,21:00,04h 45m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 194178,Super Luxury Volvo AC Seater Pushback 2+2,16:30,20:30,04h 00m,INR 460,37 Seats available,3.7,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 160785,Super Luxury Volvo AC Seater Pushback 2+2,17:30,21:30,04h 00m,INR 460,37 Seats available,3.5,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 190951,Express Non AC Seater 2+3,18:00,22:30,04h 30m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 193481,Express Non AC Seater 2+3,18:30,23:00,04h 30m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,23:45,03h 45m,INR 460,36 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,INR 302,37 Seats available,4.5,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,23:00,02:45,03h 45m,INR 458,37 Seats available,3.7,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,03:45,03h 46m,INR 302,37 Seats available,4.7,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Shri Ganesh Travels (LR SIYOL),A/C Seater / Sleeper (2+1),01:30,05:00,03h 30m,INR 450,20 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
V k jain travels,NON A/C Seater/ Sleeper (2+1),08:45,13:50,05h 05m,INR 330,36 Seats available,3.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON A/C Sleeper (2+1),11:00,15:30,04h 30m,INR 480,32 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Shrinath® Travel Agency Pvt. Ltd.,A/C Seater / Sleeper (2+1),14:00,18:30,04h 30m,INR 700,40 Seats available,3.4,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,A/C Seater / Sleeper (2+1),14:00,18:00,04h 00m,INR 430,40 Seats available,4.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
M R Travels,A/C Seater / Sleeper (2+1),14:30,19:15,04h 45m,INR 605,38 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
M R Travels,A/C Seater / Sleeper (2+1),15:30,20:00,04h 30m,INR 550,31 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
bhaiya travels,NON A/C Sleeper (2+1),17:00,22:12,05h 12m,INR 450,24 Seats available,3.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater/ Sleeper (2+1),17:00,22:55,05h 55m,INR 650,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jakhar Travels,NON A/C Seater/ Sleeper (2+1),18:00,23:15,05h 15m,INR 450,42 Seats available,4.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
M R Travels,NON A/C Seater/ Sleeper (2+1),18:30,23:40,05h 10m,INR 495,41 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Bluecity Bus,Bharat Benz A/C Sleeper (2+1),19:00,23:55,04h 55m,INR 680,33 Seats available,4.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:50,04h 50m,INR 650,42 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Shre Ganesh Travels (VR SIYOL),A/C Seater / Sleeper (2+1),19:00,23:00,04h 00m,INR 600,37 Seats available,3.4,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,23:50,04h 20m,INR 1224,35 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,01:15,04h 45m,INR 500,39 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Deepak Travells,A/C Seater / Sleeper (2+1),21:50,05:00,07h 10m,380,38 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,03:00,05h 00m,INR 400,48 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Gajraj Travels,A/C Sleeper (2+1),22:00,03:10,05h 10m,INR 650,33 Seats available,4.5,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
V k jain travels,NON A/C Seater/ Sleeper (2+1),22:00,03:05,05h 05m,INR 330,34 Seats available,3.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,02:30,04h 30m,INR 500,40 Seats available,4.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
FlixBus,VE A/C Sleeper (2+1),22:00,02:05,04h 05m,INR 490.18,25 Seats available,4.5,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
M R Travels,A/C Seater / Sleeper (2+1),22:00,02:15,04h 15m,INR 510,40 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Pooja Paraswnath Travels,A/C Seater / Sleeper (2+1),22:00,03:34,05h 34m,INR 500,32 Seats available,3.7,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
V k jain travels,A/C Seater / Sleeper (2+1),22:05,02:55,04h 50m,INR 430,34 Seats available,3.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),22:26,03:11,04h 45m,INR 700,30 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Swagat Travels,A/C Seater / Sleeper (2+1),22:28,02:50,04h 22m,475,28 Seats available,3.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jain travels regd,AC Sleeper (2+1),22:30,02:35,04h 05m,INR 650,32 Seats available,3.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
M R Travels,A/C Seater / Sleeper (2+1),22:45,02:25,03h 40m,INR 510,40 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jakhar Travels,A/C Seater / Sleeper (2+1),23:00,03:30,04h 30m,INR 600,37 Seats available,4.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),23:30,04:00,04h 30m,INR 400,42 Seats available,3.2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jakhar Travels,A/C Sleeper (2+1),23:39,04:30,04h 51m,INR 648,22 Seats available,4.0,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Jakhar Travels And Cargo,A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,INR 650,40 Seats available,4.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Shree Ganesh Travels,A/C Sleeper (2+1),23:55,04:30,04h 35m,INR 600,40 Seats available,3.6,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
R.S.Sodha Travels,A/C Seater / Sleeper (2+1),01:45,05:20,03h 35m,INR 700,23 Seats available,2.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Laxmi traveller,Non A/C Seater / Sleeper (2+1),09:30,14:30,05h 00m,INR 330,27 Seats available,2.2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Salasar vaishnav travels,A/C Seater / Sleeper (2+1),14:30,20:00,05h 30m,INR 1100,38 Seats available,2.2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Choudhary travels and cargo,A/C Seater / Sleeper (2+1),15:00,19:30,04h 30m,INR 600,17 Seats available,2.1,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
Tiger Travels,A/C Sleeper (2+1),15:15,19:00,03h 45m,INR 1500,36 Seats available,4.2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
