Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Sikkim Nationalised Transport (SNT) - 174171,NON A/C Seater (2+2),06:00,11:00,05h 00m,INR 275,19 Seats available,4.3,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
Sikkim Nationalised Transport (SNT) - 174490,A/C Seater Classic (2+2),08:00,13:00,05h 00m,INR 500,27 Seats available,3.9,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
Sikkim Nationalised Transport (SNT) - 171023,NON A/C Seater (2+2),09:00,14:00,05h 00m,INR 275,24 Seats available,4.1,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
Sikkim Nationalised Transport (SNT) - 171242,A/C Seater (2+1),10:30,15:30,05h 00m,INR 500,9 Seats available,4.3,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
Sikkim Nationalised Transport (SNT) - 170868,NON A/C Seater (2+2),11:00,16:00,05h 00m,INR 275,26 Seats available,4.0,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
Sikkim Nationalised Transport (SNT) - 170869,NON A/C Seater (2+2),12:30,17:30,05h 00m,INR 275,26 Seats available,3.8,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
Sikkim Nationalised Transport (SNT) - 171241,A/C Seater (2+1),13:30,18:30,05h 00m,INR 500,13 Seats available,4.1,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
Sikkim Nationalised Transport (SNT) - 170874,NON A/C Seater (2+2),15:00,20:00,05h 00m,INR 275,26 Seats available,4.1,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
APSARA BUS SERVICE,Non AC Seater (2+2),06:40,10:35,03h 55m,INR 240,19 Seats available,4.0,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
APSARA BUS SERVICE,Non AC Seater (2+2),07:00,10:55,03h 55m,INR 240,31 Seats available,3.4,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
APSARA BUS SERVICE,Non AC Seater (2+2),08:00,11:55,03h 55m,INR 238,20 Seats available,3.0,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
APSARA BUS SERVICE,Non AC Seater (2+2),10:00,14:00,04h 00m,INR 240,23 Seats available,3.3,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
APSARA BUS SERVICE,Non AC Seater (2+2),16:15,20:20,04h 05m,INR 240,31 Seats available,3.0,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
APSARA BUS SERVICE,Non AC Seater (2+2),05:00,08:55,03h 55m,INR 240,28 Seats available,1.5,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
APSARA BUS SERVICE,Non AC Seater (2+2),07:20,11:15,03h 55m,INR 240,29 Seats available,2.8,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
APSARA BUS SERVICE,Non AC Seater (2+2),10:40,14:40,04h 00m,INR 240,25 Seats available,1.9,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
APSARA BUS SERVICE,Non AC Seater (2+2),14:10,18:15,04h 05m,INR 240,28 Seats available,2.3,https://www.redbus.in/bus-tickets/siliguri-to-gangtok,Siliguri to Gangtok
Sikkim Nationalised Transport (SNT) - 170700,NON A/C Seater (2+2),06:00,11:30,05h 30m,INR 275,23 Seats available,3.6,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
Sikkim Nationalised Transport (SNT) - 174074,Non AC Seater (2+2),07:00,12:00,05h 00m,INR 275,23 Seats available,3.7,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
Sikkim Nationalised Transport (SNT) - 171246,A/C Seater (2+1),08:00,13:05,05h 05m,INR 500,11 Seats available,4.4,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
Sikkim Nationalised Transport (SNT) - 170852,NON A/C Seater (2+2),09:00,14:00,05h 00m,INR 275,25 Seats available,3.9,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
Sikkim Nationalised Transport (SNT) - 170859,Non AC Seater (2+3),10:00,17:30,07h 30m,INR 275,27 Seats available,3.5,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
Sikkim Nationalised Transport (SNT) - 174026,A/C Seater Classic (2+2),10:30,15:40,05h 10m,INR 500,26 Seats available,4.5,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
Sikkim Nationalised Transport (SNT) - 171007,NON A/C Seater (2+2),11:00,16:00,05h 00m,INR 275,27 Seats available,1.6,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
Sikkim Nationalised Transport (SNT) - 170860,Non AC Seater (2+3),12:15,17:15,05h 00m,INR 275,27 Seats available,3.2,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
Sikkim Nationalised Transport (SNT) - 171248,A/C Seater (2+1),12:45,17:45,05h 00m,INR 500,11 Seats available,4.0,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
APSARA BUS SERVICE,Non AC Seater (2+2),14:00,18:35,04h 35m,INR 240,28 Seats available,3.8,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
APSARA BUS SERVICE,Non AC Seater (2+2),05:20,09:15,03h 55m,INR 240,31 Seats available,2.1,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
APSARA BUS SERVICE,Non AC Seater (2+2),08:15,12:50,04h 35m,INR 240,28 Seats available,2.1,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
APSARA BUS SERVICE,Non AC Seater (2+2),08:35,12:30,03h 55m,INR 240,28 Seats available,2.1,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
APSARA BUS SERVICE,Non AC Seater (2+2),10:50,15:20,04h 30m,INR 240,28 Seats available,1.6,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
APSARA BUS SERVICE,Non AC Seater (2+2),12:30,17:00,04h 30m,INR 240,28 Seats available,1.2,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
APSARA BUS SERVICE,Non AC Seater (2+2),15:30,19:35,04h 05m,INR 240,28 Seats available,2.2,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
APSARA BUS SERVICE,Non AC Seater (2+2),16:15,20:20,04h 05m,INR 240,31 Seats available,2.1,https://www.redbus.in/bus-tickets/gangtok-to-siliguri,Gangtok to Siliguri
Sikkim Nationalised Transport (SNT) - 174171,NON A/C Seater (2+2),06:00,09:29,03h 29m,INR 180,21 Seats available,3.0,https://www.redbus.in/bus-tickets/siliguri-to-rangpo,Siliguri to Rangpo
Sikkim Nationalised Transport (SNT) - 174490,A/C Seater Classic (2+2),08:00,11:30,03h 30m,INR 325,27 Seats available,3.7,https://www.redbus.in/bus-tickets/siliguri-to-rangpo,Siliguri to Rangpo
Sikkim Nationalised Transport (SNT) - 171023,NON A/C Seater (2+2),09:00,12:30,03h 30m,INR 180,26 Seats available,4.3,https://www.redbus.in/bus-tickets/siliguri-to-rangpo,Siliguri to Rangpo
Sikkim Nationalised Transport (SNT) - 171242,A/C Seater (2+1),10:30,14:45,04h 15m,INR 325,9 Seats available,4.1,https://www.redbus.in/bus-tickets/siliguri-to-rangpo,Siliguri to Rangpo
Sikkim Nationalised Transport (SNT) - 170868,NON A/C Seater (2+2),11:00,15:15,04h 15m,INR 180,26 Seats available,2.9,https://www.redbus.in/bus-tickets/siliguri-to-rangpo,Siliguri to Rangpo
Sikkim Nationalised Transport (SNT) - 170869,NON A/C Seater (2+2),12:30,16:45,04h 15m,INR 180,26 Seats available,4.1,https://www.redbus.in/bus-tickets/siliguri-to-rangpo,Siliguri to Rangpo
Sikkim Nationalised Transport (SNT) - 171241,A/C Seater (2+1),13:30,17:45,04h 15m,INR 325,15 Seats available,3.7,https://www.redbus.in/bus-tickets/siliguri-to-rangpo,Siliguri to Rangpo
Sikkim Nationalised Transport (SNT) - 170874,NON A/C Seater (2+2),15:00,19:15,04h 15m,INR 180,26 Seats available,3.2,https://www.redbus.in/bus-tickets/siliguri-to-rangpo,Siliguri to Rangpo
Sikkim Nationalised Transport (SNT) - 170700,NON A/C Seater (2+2),07:30,11:30,04h 00m,INR 180,23 Seats available,3.6,https://www.redbus.in/bus-tickets/rangpo-to-siliguri,Rangpo to Siliguri
Sikkim Nationalised Transport (SNT) - 174074,Non AC Seater (2+2),08:10,12:00,03h 50m,INR 180,23 Seats available,3.6,https://www.redbus.in/bus-tickets/rangpo-to-siliguri,Rangpo to Siliguri
Sikkim Nationalised Transport (SNT) - 171246,A/C Seater (2+1),09:30,13:05,03h 35m,INR 500,15 Seats available,3.9,https://www.redbus.in/bus-tickets/rangpo-to-siliguri,Rangpo to Siliguri
Sikkim Nationalised Transport (SNT) - 170852,NON A/C Seater (2+2),10:30,14:00,03h 30m,INR 180,27 Seats available,3.2,https://www.redbus.in/bus-tickets/rangpo-to-siliguri,Rangpo to Siliguri
Sikkim Nationalised Transport (SNT) - 170859,Non AC Seater (2+3),11:30,17:30,06h 00m,INR 180,27 Seats available,3.4,https://www.redbus.in/bus-tickets/rangpo-to-siliguri,Rangpo to Siliguri
Sikkim Nationalised Transport (SNT) - 174026,A/C Seater Classic (2+2),11:55,15:40,03h 45m,INR 500,27 Seats available,4.4,https://www.redbus.in/bus-tickets/rangpo-to-siliguri,Rangpo to Siliguri
