Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
UPSRTC - BLP0013,Ordinary Non AC Seater 2+3,00:05,06:00,05h 55m,INR 468,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - GND0080,Ordinary Non AC Seater 2+3,00:10,07:30,07h 20m,INR 468,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - PLB0002,Shatabdi AC Seater 2+2,00:25,06:00,05h 35m,INR 648,35 Seats available,3.8,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - GRH0126,Ordinary Non AC Seater 2+3,00:31,06:30,05h 59m,INR 459,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - STD0080,Ordinary Non AC Seater 2+3,00:35,08:00,07h 25m,INR 495,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - STD0072,Janrath AC Seater 2+2,00:40,05:45,05h 05m,INR 648,35 Seats available,2.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - GND0100,Ordinary Non AC Seater 2+3,01:03,08:00,06h 57m,INR 454,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - BRH0244,Ordinary Non AC Seater 2+3,01:10,07:00,05h 50m,INR 468,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - RKD0707,Ordinary Non AC Seater 2+3,04:11,10:12,06h 01m,INR 454,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - RKD0881,Shatabdi AC Seater 2+2,06:00,11:00,05h 00m,INR 648,37 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - BLY0154,Ordinary Non AC Seater 2+3,06:00,11:30,05h 30m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - BLY0156,Ordinary Non AC Seater 2+3,07:00,12:30,05h 30m,INR 492,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - BLY0150,Janrath AC Seater 2+2,07:05,11:45,04h 40m,INR 648,35 Seats available,3.6,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - BLY0145,Rajdhani Non AC Seater 2+3,07:30,12:30,05h 00m,INR 448,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
UPSRTC - RKD0052,Ordinary Non AC Seater 2+3,08:00,13:30,05h 30m,INR 492,52 Seats available,3.3,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
